,Rada,Deputy URL,Name,Party,Cirty or Region,Сonstituency,Сonstituency Number,List Number,Start Work,End Work,Rada Group,Bio Short,Born,Citizenship,Nationality,Activity,Alma mater,Освіта,Bio Party,Person Married,Child,Awards,Place living,Web Page,Religions,Died
0,1,https://uk.wikipedia.org/wiki/%D0%A1%D0%BA%D0%BE%D1%80%D0%B8%D0%BA_%D0%9B%D0%B0%D1%80%D0%B8%D1%81%D0%B0_%D0%9F%D0%B0%D0%B2%D0%BB%D1%96%D0%B2%D0%BD%D0%B0,Скорик Лариса Павлівна,,Київ,Артемівський,1.0,,1990-05-15,1994-05-10,,"Ско́рик Лари́са Па́влівна (у дівоцтві — Ку́зма; нар. 4 жовтня 1939, Любачів) — український архітектор та громадсько-політичний діяч, професор Національної академії образотворчого мистецтва та архітектури, Народний депутат України І скликання.
",,УРСР →  Україна,українка,"архітекторка, політик, викладачка університету",,,,,,,,,,
1,1,https://uk.wikipedia.org/wiki/%D0%9C%D0%BE%D0%B2%D1%87%D0%B0%D0%BD_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,Мовчан Павло Михайлович,,Київ,Березняківський,2.0,,1990-05-15,1994-05-10,,"Павло́ Миха́йлович Мо́вчан (нар. 15 липня 1939, Велика Вільшанка) — Борець за незалежність України у ХХ сторіччі, український громадський діяч, журналіст і політик; поет, перекладач, сценарист. Заслужений діяч мистецтв України (1993); голова ВУТ «Просвіта» ім. Т.Шевченка; член Центрального проводу УНП (з січня 2003); шеф-редактор газети «Слово Просвіти»; член Комітету Національних премій України ім. Т.Шевченка (з листопада 2005). Член Спілки письменників України (з 1972). Лауреат Державної премії України імені Т. Шевченка (1992).
","15 липня 1939(1939-07-15) (79 років)село Велика Вільшанка, Васильківський район, Київська область",Україна,українець,"політик, громадський діяч, журналіст, поет, перекладач, сценарист",Літературний інститут імені Горького,,безпартійний,,,,,,,
2,1,https://uk.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BD%D1%8E%D0%BA_%D0%9B%D0%B5%D0%BE%D0%BD%D1%96%D0%B4_%D0%A1%D1%82%D0%B5%D0%BF%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,Танюк Леонід (Лесь) Степанович,,Київ,Ватутінський,3.0,,1990-05-15,1994-05-10,,"Павло́ Миха́йлович Мо́вчан (нар. 15 липня 1939, Велика Вільшанка) — Борець за незалежність України у ХХ сторіччі, український громадський діяч, журналіст і політик; поет, перекладач, сценарист. Заслужений діяч мистецтв України (1993); голова ВУТ «Просвіта» ім. Т.Шевченка; член Центрального проводу УНП (з січня 2003); шеф-редактор газети «Слово Просвіти»; член Комітету Національних премій України ім. Т.Шевченка (з листопада 2005). Член Спілки письменників України (з 1972). Лауреат Державної премії України імені Т. Шевченка (1992).
","8 липня 1938(1938-07-08)Жукин, Вишгородський район, Київська область, Українська РСР",СРСР →  Україна,,театральний режисер,"Київський національний університет театру, кіно і телебачення імені Івана Карпенка-Карого",,Народний Рух України,,,,,tanyuk.openua.net/bio.php,,18 березня 2016(2016-03-18) (77 років)Київ·Рак шлунка
3,1,https://uk.wikipedia.org/wiki/%D0%97%D0%B1%D1%96%D1%82%D0%BD%D1%94%D0%B2_%D0%AE%D1%80%D1%96%D0%B9_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,Збітнєв Юрій Іванович,,Київ,Гагарінський,4.0,,1990-05-15,1994-05-10,,"Павло́ Миха́йлович Мо́вчан (нар. 15 липня 1939, Велика Вільшанка) — Борець за незалежність України у ХХ сторіччі, український громадський діяч, журналіст і політик; поет, перекладач, сценарист. Заслужений діяч мистецтв України (1993); голова ВУТ «Просвіта» ім. Т.Шевченка; член Центрального проводу УНП (з січня 2003); шеф-редактор газети «Слово Просвіти»; член Комітету Національних премій України ім. Т.Шевченка (з листопада 2005). Член Спілки письменників України (з 1972). Лауреат Державної премії України імені Т. Шевченка (1992).
","25 жовтня 1963(1963-10-25) (54 роки)Сміла, Черкаська область, Українська РСР, СРСР",Україна,,політик,Івано-Франківський національний медичний університет,,Соціал-демократична партія України (об'єднана),,,,,,,
4,1,https://uk.wikipedia.org/wiki/%D0%A8%D0%B5%D0%B2%D1%87%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9E%D0%BB%D0%B5%D1%81%D1%8C_%D0%84%D0%B2%D0%B3%D0%B5%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,Шевченко Олесь Євгенович,,Київ,Голосіївський,5.0,,1990-05-15,1994-05-10,,"Павло́ Миха́йлович Мо́вчан (нар. 15 липня 1939, Велика Вільшанка) — Борець за незалежність України у ХХ сторіччі, український громадський діяч, журналіст і політик; поет, перекладач, сценарист. Заслужений діяч мистецтв України (1993); голова ВУТ «Просвіта» ім. Т.Шевченка; член Центрального проводу УНП (з січня 2003); шеф-редактор газети «Слово Просвіти»; член Комітету Національних премій України ім. Т.Шевченка (з листопада 2005). Член Спілки письменників України (з 1972). Лауреат Державної премії України імені Т. Шевченка (1992).
","22 лютого 1940(1940-02-22) (78 років)м. Сквира, Київська обл.",Україна,українець,політик,Київський національний університет імені Тараса Шевченка,,Організація українських націоналістів,,,,,,,
5,1,https://uk.wikipedia.org/wiki/%D0%86%D0%B2%D0%B0%D1%88%D0%BA%D0%BE_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,Івашко Володимир Антонович,,Київ,Дарницький,6.0,,1990-05-15,1990-07-19,,"Павло́ Миха́йлович Мо́вчан (нар. 15 липня 1939, Велика Вільшанка) — Борець за незалежність України у ХХ сторіччі, український громадський діяч, журналіст і політик; поет, перекладач, сценарист. Заслужений діяч мистецтв України (1993); голова ВУТ «Просвіта» ім. Т.Шевченка; член Центрального проводу УНП (з січня 2003); шеф-редактор газети «Слово Просвіти»; член Комітету Національних премій України ім. Т.Шевченка (з листопада 2005). Член Спілки письменників України (з 1972). Лауреат Державної премії України імені Т. Шевченка (1992).
","28 жовтня 1932(1932-10-28)Полтава, Українська РСР, СРСР",,,,,Харківський гірничий інститут,,,,,,,Атеїзм,"13 листопада 1994(1994-11-13) (62 роки)Москва, РФ"
6,1,https://uk.wikipedia.org/wiki/%D0%A4%D0%BE%D0%BA%D1%96%D0%BD_%D0%92%D1%96%D1%82%D0%BE%D0%BB%D1%8C%D0%B4_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,Фокін Вітольд Павлович,,Київ,Дарницький,6.0,,1991-03-21,1994-05-10,,"Фо́кін Віто́льд Па́влович (нар. 25 жовтня 1932(19321025), с. Новомиколаївка, тодішня Дніпропетровська область, УСРР) — український радянський державний діяч, Прем'єр-міністр України (23 жовтня 1990 — 1 жовтня 1992). Депутат Верховної Ради УРСР 10-12-го скликань. Член Ревізійної комісії КПУ у 1976—1981 р. Член ЦК КПУ в 1981—1991 роках.
","25 жовтня 1932(1932-10-25) (85 років)с. Новомиколаївка, Запорізька область, Українська СРР",СРСР→ Україна,українець,,,,,,дочка і син,,,,,
7,1,https://uk.wikipedia.org/wiki/%D0%94%D1%83%D1%85%D0%BE%D0%B2_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%86%D0%BD%D0%BE%D0%BA%D0%B5%D0%BD%D1%82%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,Духов Борис Інокентійович,,Київ,Залізничний,7.0,,1990-05-15,1994-05-10,,"Фо́кін Віто́льд Па́влович (нар. 25 жовтня 1932(19321025), с. Новомиколаївка, тодішня Дніпропетровська область, УСРР) — український радянський державний діяч, Прем'єр-міністр України (23 жовтня 1990 — 1 жовтня 1992). Депутат Верховної Ради УРСР 10-12-го скликань. Член Ревізійної комісії КПУ у 1976—1981 р. Член ЦК КПУ в 1981—1991 роках.
",,,,,,,,,,,,,,
8,1,https://uk.wikipedia.org/wiki/%D0%93%D0%BD%D0%B0%D1%82%D0%BA%D0%B5%D0%B2%D0%B8%D1%87_%D0%AE%D1%80%D1%96%D0%B9_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%BE%D0%B2%D0%B8%D1%87,Гнаткевич Юрій Васильович,,Київ,Індустріальний,8.0,,1990-05-15,1994-05-10,,"Ю́рій Васи́льович Гнатке́вич (нар. 4 квітня 1940, село Добривода, Радивилівський район, Рівненська область) — український вчений, громадський діяч та політик. Народний депутат України. Кандидат педагогічних наук, доцент. Член партії ВО «Батьківщина».
","4 квітня 1940(1940-04-04) (78 років)село Добривода, Радивилівський район, Рівненська область",Україна,українець,політик,Київський національний лінгвістичний університет,,,,,,,,,
9,1,https://uk.wikipedia.org/wiki/%D0%86%D0%B2%D0%B0%D1%81%D1%8E%D0%BA_%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D1%96%D0%B9_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87,Івасюк Валерій Петрович,,Київ,Ленінградський,9.0,,1990-05-15,1994-05-10,,"Ю́рій Васи́льович Гнатке́вич (нар. 4 квітня 1940, село Добривода, Радивилівський район, Рівненська область) — український вчений, громадський діяч та політик. Народний депутат України. Кандидат педагогічних наук, доцент. Член партії ВО «Батьківщина».
",14 вересня 1958(1958-09-14) (60 років)м. Київ,СРСР→ Україна,Українець,,,,,,,,,,Православ'я,
